T [sec],t [sec],a_x [m/s2],a_y [m/s2],a_z [m/s2]
0.0010044574737548828,0.0010111331939697266,-4.0795664,2.9027684,9.9635564
0.0009644031524658203,0.001981019973754883,-1.2552512,2.5105024,9.2574776
0.0009655952453613281,0.002948284149169922,-2.9812215999999996,0.9414384,9.9635564
0.0010797977447509766,0.004031658172607422,-2.5105024,-2.5105024,9.022118
0.0009765625,0.005010366439819336,0.6276256,-4.5502856,10.0420096
0.0009288787841796875,0.005940914154052734,-1.3337044,-0.0784532,9.492837199999999
0.0010082721710205078,0.006951093673706055,0.0,0.3138128,10.0420096
0.0009856224060058594,0.007939577102661133,0.7060788,0.1569064,11.2188076
0.0009288787841796875,0.008869647979736328,2.5105024,2.1182364,13.807763199999998
0.0009288787841796875,0.009799957275390625,1.2552512,4.5502856,10.6696352
0.0009338855743408203,0.010735273361206055,1.4906107999999998,-0.5491724,7.9237732
0.0009257793426513672,0.01166224479675293,0.5491724,0.0,9.3359308
0.0009262561798095703,0.012589693069458008,-1.6475172,2.4320492,7.6884136
0.0009260177612304688,0.013517379760742188,0.7060788,-2.5105024,11.846433199999998
0.0009322166442871094,0.014450550079345703,3.138128,-2.3535959999999996,11.2188076
0.0009329319000244141,0.01538538932800293,0.0,1.8828768,10.3558224
0.0009515285491943359,0.016338348388671875,-1.2552512,2.8243152,8.1591328
0.0009601116180419922,0.017301082611083984,-2.2751428,2.4320492,10.0420096
0.0009748935699462891,0.018278121948242188,-0.1569064,0.7060788,10.983448000000001
0.0009744167327880859,0.019254446029663086,-1.2552512,0.0,10.983448000000001
0.0009560585021972656,0.020212411880493164,-4.9425516,0.0,10.0420096
0.0009355545043945312,0.021149158477783203,-1.96133,-0.6276256,8.629852
0.0009293556213378906,0.0220792293548584,-3.138128,-3.2950344,9.9635564
0.0009317398071289062,0.023012638092041016,-2.0397832,0.3138128,8.7867584
0.0009300708770751953,0.023943662643432617,-3.6088471999999996,1.4121576,8.1591328
0.0009300708770751953,0.02489495277404785,-1.3337044,2.4320492,9.022118
0.0009307861328125,0.025826692581176758,-0.3138128,1.8828768,9.9635564
0.0009291172027587891,0.026757001876831055,-2.4320492,2.7458620000000002,10.0420096
0.000926971435546875,0.027685165405273438,0.784532,0.6276256,8.7867584
0.0009276866912841797,0.028613805770874023,2.3535959999999996,-2.5105024,10.6696352
0.0009272098541259766,0.029542207717895508,2.1966896,-2.1966896,12.4740588
0.0009272098541259766,0.030470609664916992,1.0198916,-1.96133,12.552512
0.0009329319000244141,0.03140449523925781,3.138128,-0.9414384,11.846433199999998
0.0009300708770751953,0.032335758209228516,2.1182364,1.569064,10.0420096
0.000926971435546875,0.03326416015625,0.0,1.8044235999999998,11.1403544
0.0009276866912841797,0.034192800521850586,2.0397832,1.8828768,9.9635564
0.0009260177612304688,0.03512001037597656,0.0,0.9414384,12.003339599999999
0.0009267330169677734,0.036047935485839844,0.0,0.6276256,9.414383999999998
0.0009300708770751953,0.036978721618652344,-1.96133,-0.392266,10.0420096
0.0009493827819824219,0.037929534912109375,-2.1182364,-0.6276256,9.9635564
0.0009505748748779297,0.038881540298461914,-1.569064,-2.5105024,10.5127288
0.0009944438934326172,0.03987765312194824,-1.2552512,-1.569064,9.7281968
0.0009291172027587891,0.04080796241760254,-2.1966896,0.0,10.6696352
0.0009257793426513672,0.04173469543457031,-3.8442068,3.7657536,9.1790244
0.0009272098541259766,0.0426630973815918,-5.0210048,2.5105024,10.0420096
0.0009255409240722656,0.04358959197998047,-1.3337044,2.8243152,8.5513988
0.0009245872497558594,0.04451489448547363,-2.5889556,1.2552512,7.453054
0.0009248256683349609,0.045440673828125,-1.3337044,-1.8828768,8.0806796
0.0009260177612304688,0.04636788368225098,-1.8828768,-2.5105024,9.1790244
0.0009250640869140625,0.04729413986206055,-0.4707192,-2.4320492,12.552512
0.0009238719940185547,0.04821920394897461,0.1569064,1.2552512,10.0420096
0.0009438991546630859,0.0491642951965332,0.0,1.1767979999999998,9.1005712
0.0009374618530273438,0.050103187561035156,2.8243152,2.5105024,11.061901200000001
0.0009272098541259766,0.05103182792663574,3.4519407999999996,3.7657536,11.061901200000001
0.0009248256683349609,0.05195784568786621,2.1182364,1.3337044,10.3558224
0.0009243488311767578,0.052883148193359375,1.1767979999999998,-0.6276256,9.3359308
0.0009250640869140625,0.053809404373168945,0.784532,-0.0784532,9.7281968
0.0009272098541259766,0.05473732948303223,2.4320492,-1.0983448,9.649743599999999
0.0009245872497558594,0.05566287040710449,0.0,-2.8243152,9.022118
0.0009238719940185547,0.05658769607543945,0.0,1.4121576,10.0420096
0.0009236335754394531,0.057512521743774414,-1.7259703999999998,1.569064,10.0420096
0.0009248256683349609,0.05843806266784668,-1.7259703999999998,2.1182364,11.2188076
0.0009260177612304688,0.059365034103393555,-2.5105024,3.138128,10.198916
0.0009241104125976562,0.06029009819030762,-1.96133,2.5105024,8.4729456
