Timestamp,a_x [m/s2],a_y [m/s2],a_z [m/s2]
2026-02-04 15:33:51.830998,-1.2944778,-0.5099458,10.1204628
2026-02-04 15:33:52.832381,-1.2944778,-1.3337044,10.198916
2026-02-04 15:33:53.833701,-0.9414384,-0.980665,10.1204628
2026-02-04 15:33:54.834993,-0.1176798,0.5491724,10.395049
2026-02-04 15:33:55.836273,-0.9414384,0.3530394,10.4342756
2026-02-04 15:33:56.837563,-1.1375714,0.0,10.6304086
2026-02-04 15:33:57.838872,-0.0784532,0.7453053999999999,10.395049
2026-02-04 15:33:58.840145,-0.1569064,0.5491724,10.3165958
2026-02-04 15:33:59.842836,-0.1176798,0.3530394,11.571846999999998
2026-02-04 15:34:00.844159,0.43149259999999995,1.96133,10.1596894
2026-02-04 15:34:01.845468,-0.8629851999999999,-0.1569064,10.787315
2026-02-04 15:34:02.846841,3.4127142,-1.5298374,11.2188076
2026-02-04 15:34:03.848456,-2.8243152,-2.3535959999999996,10.6304086
2026-02-04 15:34:04.850123,0.5099458,1.1375714,10.6304086
2026-02-04 15:34:05.851720,-1.0198916,2.0397832,10.4735022
2026-02-04 15:34:06.853383,-0.9414384,-4.314926,9.7281968
2026-02-04 15:34:07.855048,-1.6867438000000001,-1.8828768,9.4536106
2026-02-04 15:34:08.856894,1.4513842,3.0989014,9.845876599999999
2026-02-04 15:34:09.858796,0.5883989999999999,3.8834334,10.2381426
2026-02-04 15:34:10.860138,-0.9022117999999999,2.549729,9.80665
2026-02-04 15:34:11.861438,0.0392266,0.196133,10.395049
2026-02-04 15:34:12.862754,2.5105024,0.6668522,8.1199062
2026-02-04 15:34:13.864071,-0.4707192,-0.392266,11.76798
2026-02-04 15:34:14.865602,-0.2745862,-0.2353596,10.591182
2026-02-04 15:34:15.867201,0.6276256,1.2552512,9.218251
2026-02-04 15:34:16.868822,-1.569064,0.196133,13.4154972
2026-02-04 15:34:17.870456,-0.6668522,0.6668522,10.6696352
